category, name, description, url
"Campus Life", "eRez Life", "Select your housing and meal plan", "https://alfredstate.erezlife.com/"
"Academics", "Starfish", "Schedule meetings with faculty", "https://alfredstate.starfishsolutions.com/starfish-ops"
"Academics", "DegreeWorks", "View your progress towards graduating", "https://alf.degreeworks.suny.edu/"
"Academics", "Tutor Request", "Schedule a tutoring apointment", "https://alfredstate.mywconline.com/"
"Academics", "Clockwork", "Schedule a proctored test", "https://clockwork.alfredstate.edu/ClockWork/custom/misc/home.aspx"
"Academics", "Additional Academic Resources", "Directory providing various documents and resources for academic success", "https://www.alfredstate.edu/academics/academic-resources"
"Academics", "Alfred Catalogue", "List of courses and programs offered by Alfred State", "https://catalog2.alfredstate.edu/"
"Campus Life", "Fitness Center Membership", "Sign up for fitness center access", "https://federation.ngwebsolutions.com/sp/startSSO.ping?PartnerIdpId=https://sts.windows.net/9847450c-4365-4e32-b26e-b73baa0ea04b/&SpSessionAuthnAdapterId=alfredstateDF&TargetResource=https%3a%2f%2fdynamicforms.ngwebsolutions.com%2fSubmit%2fStart%2f6dcc23ee-5211-4d13-9c2c-d3df93c8ff9c"
"Campus Life", "Intramurals", "View athletic and socially engaging activities offered by Alfred State", "https://pioneerlink.alfredstate.edu/organization/intramurals"
"IT Resources", "Outlook", "Check your Alfred State email via Outlook", "https://webmail.alfredstate.edu/"
"Academics", "Order Your Books", "Buy textbooks and course materials", "https://banner.alfredstate.edu/BannerExtensibility/customPage/page/alf_bookstore_auth"
"Campus Resources", "Print Center", "Dashboard to manage print jobs", "https://www.alfredstate.edu/print-center"
"IT Resources", "Pharos Packages", "Download software and drivers to use campus printers", "https://alfredstateedu14176.sharepoint.com/sites/PharosPackages"
"IT Resources", "Pharos Help", "Guide to using campus printers", "https://alfredstate.teamdynamix.com/TDClient/277/Portal/KB/ArticleDet?ID=10714"
"Campus Resources", "University Police", "View information about university police", "https://www.alfredstate.edu/university-police"
"Campus Resources", "Title IX", "Read about title IX", "https://www.alfredstate.edu/title-ix"
"Campus Resources", "988 Hotline", "Suicide and crisis hotline", "https://988lifeline.org"
"Finance", "ScholarshipUniverse", "Apply for scholarships and view offers through Alfred State", "https://alfredstate.scholarshipuniverse.com/"
"Finance", "NYS Scholarships", "View grants and scholarships offered by New York State", "https://hesc.ny.gov/find-aid/nys-grants-scholarships"
"Academics", "Formal Academic Complaint Form", "PDF form for filing academic complaints.", "https://www.alfredstate.edu/sites/default/files/2025-12/academic-complaint-form.pdf"
"Campus Resources", "Rental Cars", "Rent vehicles located on your campus with low rates that include fuel", "https://www.enterprisecarshare.com/us/en/programs/university/alfred-state.html"
"Campus Resources", "Campus Parking Information", "Parking rules and permits", "https://www.alfredstate.edu/university-police/parking-campus"
"Finance", "Financial Aid Offers", "Accept and decline Federal Direct Loans offered", "https://banner.alfredstate.edu/StudentSelfService/ssb/financialAid#!/dashboard/home/2627"
"Academics", "Bannerweb", "Dashboard for student information", "https://banner.alfredstate.edu/StudentSelfService/ssb/studentProfile"
"Campus Life", "Health Portal", "Portal for Alfred State health and wellness services", "https://alfredst.studenthealthportal.com/"
"Finance", "Excelsior Scholarship Application", "Apply for the NYS Excelsior Scholarship", "https://hesc.ny.gov/find-aid/nys-grants-scholarships/excelsior-scholarship-program"
"Finance", "FASFA Application", "Free Application for Federal Student Aid", "https://studentaid.gov/h/apply-for-aid/fafsa"
"Finance", "NYS Tap Application", "New York State Tuition Assistance Program", "https://www.tap.hesc.ny.gov/totw/"
"Career Services", "JobLink", "View employment and internship opportunities", "https://alfredstate-csm.symplicity.com/students/?signin_tab=0"
"Career Services", "Skills First", "AI powered resume builder", "https://skillsfirst.com/organizations/alfredstate"
"Campus Resources", "Campus Store", "Shop textbooks and supplies from the campus store", "https://www.alfredstatebookstore.com/home"
"Finance", "Financial Aid Guides", "Helpful documents for financial aid", "https://alfredstateedu14176.sharepoint.com/sites/Finances"
"Academics", "Schedule Planner", "Register for classes and pick your schedule for the upcoming semester", "https://alfredstate.collegescheduler.com/"
"Finance", "Veteran Certification Form", "Get benefits for military service", "https://federation.ngwebsolutions.com/sp/ACS.saml2"
"Campus Resources", "Veteran Services and Benefits", "View veteran benefits offered by Alfred State", "https://www.alfredstate.edu/admissions/applying-alfred/veterans-military"
"Campus Resources", "RAVE Alerts", "Be informed on emergencies via text", "https://www.getrave.com/login/alfredstate"
"Campus Life", "Pioneer Link", "Find events, organizations, and news of what's happening at Alfred State", "https://pioneerlink.alfredstate.edu/"
"Campus Life", "CORQ", "Mobile app for Pioneer Link events", "https://www.alfredstate.edu/pioneer-link"
"IT Resources", "Microsoft Teams", "Chat application to communicate with Alfred State faculty and students", "https://teams.microsoft.com/v2/"
"Campus Resources", "Formal Administrative Complaint Form", "PDF form for filing administrative complaints", "https://www.alfredstate.edu/sites/default/files/2025-12/administrative-complaint-form.pdf"
"Academics", "LinkedIn Learning", "Get educational resources for free using your Alfred State email", "https://www.linkedin.com/learning-login/"
"Academics", "Apply To Graduate", "Submit your graduation application", "https://federation.ngwebsolutions.com/sp/ACS.saml2"
"Academics", "Commencement Ceremony Information", "Details about graduation day", "https://www.alfredstate.edu/commencement"
"Finance", "Pay Commencement Fee", "Pay your graduation fees", "https://federation.ngwebsolutions.com/sp/startSSO.ping?PartnerIdpId=https://sts.windows.net/9847450c-4365-4e32-b26e-b73baa0ea04b/&SpSessionAuthnAdapterId=alfredstateDF&TargetResource=https%3a%2f%2fdynamicforms.ngwebsolutions.com%2fSubmit%2fStart%2fd52b16b1-4cf0-4e7c-9846-41289bcfb807"
"Academics", "Hinkle Library", "Search and request books from the library", "https://library.alfredstate.edu/c.php?g=372677"
